,name,category,rating,ncount,address
133,펄쉘 청담점,양식,4.1,37,서울 강남구 도산대로55길 45 십이.이.사.칠빌딩 1층
134,청담순두부 본점,두부전문점,2.6,42,서울 강남구 도산대로53길 19 1층
135,카페티퍼스트에비뉴,카페,3.0,58,서울 강남구 도산대로59길 9
136,르사이트,디저트카페,3.7,99,서울 강남구 도산대로11길 22
137,미분당 신사점,베트남음식,4.4,87,서울 강남구 도산대로1길 18 1층 101호
138,애류헌,한식,2.9,43,서울 강남구 도산대로75길 19 2층
139,미수식당 청담점,술집,3.5,32,서울 강남구 도산대로55길 43
140,정육공방,"육류,고기",3.8,28,서울 강남구 도산대로30길 24
141,창화당 도산점,분식,4.0,65,서울 강남구 도산대로53길 16 1층
142,서현실비 청담직영점,"육류,고기",4.8,21,서울 강남구 도산대로 511 2층
143,바랗,퓨전요리,3.8,21,서울 강남구 도산대로 309
144,콘유,일식,3.8,56,서울 강남구 도산대로11길 31-7
145,현해,복어,3.7,6,"서울 강남구 도산대로 318 SB타워 B동 1,2층"
146,맥도날드 청담DT점,패스트푸드,2.6,20,서울 강남구 도산대로 407
147,매덕스피자,피자,4.0,6,서울 강남구 도산대로15길 11 1층
148,에이뿔램 청담본점,"육류,고기",4.8,40,서울 강남구 도산대로102길 5 2층
149,오라방 신사점,한식,4.5,19,서울 강남구 도산대로17길 39 1층
150,애월식당,"육류,고기",4.4,14,서울 강남구 도산대로51길 33 1층
151,김록훈베이커리,"제과,베이커리",3.4,13,서울 강남구 도산대로8길 23
152,스타벅스 청담사거리점,커피전문점,3.5,26,서울 강남구 도산대로 458 리츠타워
153,스시류코,"초밥,롤",4.3,41,서울 강남구 도산대로49길 6-10 1층
154,미미미가든 청담점,이탈리안,4.3,44,"서울 강남구 도산대로 417 지하1,2층"
155,모던오뎅,오뎅바,2.9,62,서울 강남구 도산대로17길 10
156,한우리한정식,한정식,4.0,12,"서울 강남구 도산대로 308 코오라빌딩 3,4,5층"
157,앨리스,칵테일바,3.7,11,서울 강남구 도산대로55길 47 지하1층
158,마오 청담동점,퓨전중식,3.5,31,서울 강남구 도산대로56길 17
159,댈러스바베큐,양식,4.0,51,서울 강남구 도산대로15길 32-10
160,스코파더쉐프,이탈리안,4.3,51,서울 강남구 도산대로89길 13 2층
161,스쿠로,이탈리안,4.6,43,서울 강남구 도산대로17길 31
162,하시 압구정점,일본식주점,4.1,9,서울 강남구 도산대로58길 18
163,가온,한식,4.2,22,서울 강남구 도산대로 317 호림아트센터 M층
164,맥도날드 신사역점,패스트푸드,2.8,11,서울 강남구 도산대로 123 2층
165,청담회장님댁,양식,2.3,2,서울 강남구 도산대로57길 8 승원빌딩 1층
166,대게만찬 강남점,"게,대게",2.8,36,서울 강남구 도산대로 176 101호
167,세광양대창 청담점,"곱창,막창",5.0,46,서울 강남구 도산대로81길 5 2층
168,미켈러바,술집,3.7,12,서울 강남구 도산대로17길 33
169,포쿠치나,베트남음식,3.7,44,서울 강남구 도산대로50길 25 1층
170,우천식육식당,"육류,고기",5.0,64,서울 강남구 도산대로94길 20 지하1층
171,스타벅스 신사역점,커피전문점,3.2,24,서울 강남구 도산대로 108 렉스타워 1층
172,스타벅스 청담점,커피전문점,3.7,14,서울 강남구 도산대로 532 인희빌딩 1층
173,리골레토시카고피자 가로수길점,피자,3.4,624,서울 강남구 도산대로11길 15 2층
174,연타발 본점,"곱창,막창",4.1,45,서울 강남구 도산대로 231
175,마치마치 가로수길점,카페,2.7,45,서울 강남구 도산대로11길 25 1층
176,비플리끄,"육류,고기",4.4,22,서울 강남구 도산대로59길 16 4층
177,폴스타,술집,4.3,58,서울 강남구 도산대로45길 10-11 지하1층
178,노이에아트멍,카페,4.4,17,서울 강남구 도산대로23길 19
179,싸일러 청담점,"제과,베이커리",3.9,75,서울 강남구 도산대로85길 39 1층
180,까페마당,양식,3.6,156,서울 강남구 도산대로45길 7
181,삼백집 가로수길직영점,국밥,3.8,25,서울 강남구 도산대로17길 6
182,현복집 논현본점,복어,4.2,6,서울 강남구 도산대로50길 14 동암빌딩 1층
183,에이커스,카페,2.9,74,서울 강남구 도산대로17길 30 1층
184,OMG 게판5분전,"호프,요리주점",2.2,4,서울 강남구 도산대로51길 39 1층
185,엘세뇨르둘세,와인바,4.4,13,서울 강남구 도산대로101길 22
186,랑꼬뉴,디저트카페,3.1,58,서울 강남구 도산대로25길 37
187,창화당 신사점,분식,4.4,52,서울 강남구 도산대로1길 16 1층
188,마리모,일식집,3.6,19,서울 강남구 도산대로49길 10-1
189,어퍼웨스트,양식,4.0,14,서울 강남구 도산대로15길 25
